50,24,7,b
53,26,9,b
55,63,65,w
57,62,67,w
60,65,72,w
60,61,63,w
44,49,51,w
62,62,64,w
62,60,59,w
62,61,61,w
63,60,60,w
18,39,16,g
20,39,14,g
22,39,17,g
19,38,12,g
20,38,11,g
21,38,14,g
20,38,13,g
22,38,10,g
21,39,13,g
19,40,93,o
11,30,90,o
21,39,97,o
7,26,78,o
6,24,80,o
7,24,81,o
8,25,72,o
7,23,75,o
8,22,76,o
11,68,91,y
11,66,95,y
17,69,98,y
3,59,76,y
3,58,81,y
3,55,82,y
4,55,69,y
3,55,72,y
3,55,80,y
14,21,56,r
16,20,60,r
15,20,63,r
15,19,56,r
14,19,62,r
14,19,63,r
14,19,49,r
15,19,58,r
14,19,58,r
50,30,13,b
51,31,14,b
53,31,14,b
51,29,10,b
53,29,10,b
54,29,12,b
51,28,10,b
53,28,8,b
54,28,12,b
60,67,72,w
61,66,73,w
67,70,77,w
61,63,63,w
46,50,52,w
66,64,68,w
62,61,59,w
64,62,61,w
65,62,63,w
20,41,19,g
21,41,18,g
23,42,26,g
20,39,12,g
20,39,10,g
21,39,13,g
20,38,10,g
21,38,9,g
21,38,11,g
8,30,91,o
8,29,98,o
8,29,102,o
7,26,84,o
6,24,92,o
6,26,94,o
17,29,80,o
15,27,85,o
10,24,89,o
6,61,83,y
4,58,83,y
4,58,87,y
4,60,78,y
2,58,80,y
3,57,83,y
5,59,75,y
3,57,75,y
2,55,78,y
13,20,48,r
14,19,52,r
14,19,57,r
12,17,42,r
14,17,47,r
15,17,52,r
26,23,41,r
28,23,45,r
25,20,46,r
50,30,17,b
52,29,14,b
54,30,17,b
51,28,11,b
54,27,9,b
55,28,11,b
53,26,9,b
53,25,8,b
55,24,9,b
63,68,74,w
65,67,72,w
67,69,80,w
67,67,68,w
50,52,56,w
71,68,72,w
71,67,66,w
72,67,68,w
71,66,69,w
20,43,24,g
20,40,19,g
22,41,26,g
19,39,16,g
20,38,11,g
20,37,13,g
21,38,11,g
20,37,9,g
22,35,10,g
6,27,82,o
6,26,87,o
7,26,89,o
7,25,78,o
7,24,83,o
6,24,85,o
23,30,76,o
17,27,78,o
10,24,82,o
9,60,88,y
4,56,86,y
8,59,88,y
3,56,74,y
3,55,76,y
3,56,81,y
4,55,69,y
3,56,73,y
3,56,77,y
15,21,55,r
14,21,59,r
18,23,60,r
12,19,49,r
13,18,53,r
14,19,55,r
13,18,46,r
14,18,51,r
14,18,53,r
46,29,13,b
44,29,13,b
50,31,13,b
46,28,10,b
48,27,9,b
49,27,10,b
48,26,9,b
48,25,9,b
48,25,9,b
61,66,68,w
59,66,69,w
62,66,68,w
64,67,66,w
46,51,54,w
62,63,67,w
66,67,66,w
64,65,64,w
63,64,66,w
17,38,12,g
19,38,13,g
23,39,16,g
17,36,9,g
19,36,9,g
20,35,10,g
17,33,8,g
19,34,7,g
18,33,8,g
7,27,86,o
7,26,92,o
11,28,96,o
6,23,86,o
6,23,90,o
6,24,94,o
6,23,81,o
5,23,87,o
6,23,93,o
0,76,126,y
0,77,133,y
0,78,137,y
0,74,127,y
0,73,131,y
0,74,133,y
0,71,123,y
0,72,125,y
0,72,130,y
5,18,122,r
3,15,127,r
1,12,126,r
3,16,118,r
2,13,123,r
1,10,122,r
3,15,113,r
3,13,117,r
6,11,117,r
151,79,16,b
159,76,8,b
164,75,3,b
150,74,11,b
158,72,4,b
162,69,0,b
149,69,6,b
155,65,1,b
165,64,0,b
110,124,139,w
111,123,140,w
112,122,139,w
109,121,134,w
111,119,136,w
112,119,136,w
110,118,128,w
111,117,128,w
115,117,130,w
68,118,33,g
69,120,34,g
70,122,36,g
61,112,22,g
60,109,12,g
63,110,14,g
61,107,16,g
60,106,5,g
64,106,8,g
0,33,184,o
0,32,190,o
0,32,194,o
0,30,184,o
0,29,190,o
0,26,191,o
0,29,177,o
0,26,184,o
0,24,186,o
0,91,144,y
0,92,150,y
0,94,153,y
0,89,144,y
0,90,148,y
0,91,150,y
0,87,138,y
0,87,143,y
0,85,146,y
6,14,73,r
6,13,79,r
6,12,80,r
6,12,71,r
7,12,75,r
6,11,76,r
5,12,66,r
5,12,71,r
5,10,71,r
126,54,12,b
132,55,14,b
134,55,14,b
126,52,7,b
134,51,7,b
137,53,12,b
126,47,3,b
131,45,2,b
133,44,2,b
45,54,57,w
65,71,79,w
69,70,79,w
44,51,55,w
66,69,75,w
71,69,76,w
42,48,51,w
69,68,72,w
75,69,73,w
21,47,7,g
23,47,9,g
22,48,10,g
19,45,6,g
20,46,7,g
22,45,9,g
19,44,6,g
20,44,6,g
19,43,5,g
1,26,152,o
0,26,176,o
0,26,181,o
0,24,149,o
0,24,175,o
0,24,180,o
1,19,139,o
0,18,166,o
0,19,170,o
0,100,143,y
0,101,150,y
0,103,153,y
0,96,143,y
0,98,149,y
0,97,150,y
0,92,137,y
0,94,142,y
0,91,145,y
3,15,118,r
4,14,126,r
4,15,133,r
1,11,110,r
1,10,119,r
1,10,125,r
1,10,106,r
1,9,114,r
0,9,119,r
85,37,5,b
89,34,1,b
91,34,1,b
85,35,3,b
88,32,0,b
92,32,1,b
84,34,3,b
95,33,0,b
100,33,0,b
104,109,119,w
104,111,124,w
109,111,125,w
104,109,117,w
108,110,121,w
111,109,123,w
104,105,114,w
109,107,118,w
111,106,119,w
17,40,8,g
20,41,10,g
20,41,10,g
17,38,7,g
18,39,8,g
19,39,8,g
16,37,5,g
18,38,6,g
20,39,6,g
0,30,166,o
0,29,172,o
0,30,177,o
0,27,163,o
0,25,169,o
0,25,173,o
0,26,158,o
0,24,163,o
0,23,168,o
4,54,78,y
2,54,80,y
2,54,83,y
2,52,75,y
3,54,79,y
2,54,81,y
8,54,71,y
3,55,77,y
2,54,78,y
9,19,58,r
12,19,65,r
10,17,67,r
11,16,50,r
10,16,54,r
10,15,58,r
18,18,46,r
12,16,50,r
13,15,49,r
45,29,17,b
46,28,14,b
47,29,17,b
44,27,11,b
47,26,11,b
48,27,14,b
53,29,11,b
49,26,11,b
53,29,17,b
54,62,66,w
54,63,70,w
56,65,72,w
55,61,65,w
41,48,52,w
59,62,71,w
65,64,65,w
62,62,64,w
64,64,71,w
16,37,15,g
17,37,14,g
18,37,15,g
18,35,11,g
19,36,12,g
20,36,14,g
19,35,8,g
22,36,9,g
20,35,11,g
4,25,91,o
4,23,95,o
4,22,95,o
5,23,89,o
3,21,92,o
3,20,92,o
6,23,84,o
5,21,87,o
6,21,88,o
7,74,99,y
3,71,96,y
3,68,94,y
2,69,90,y
1,70,95,y
2,68,95,y
2,62,76,y
2,64,82,y
2,66,93,y
11,21,74,r
13,21,77,r
15,21,76,r
10,19,63,r
13,19,67,r
12,18,69,r
10,16,56,r
11,16,62,r
11,16,60,r
56,33,14,b
59,33,13,b
60,32,15,b
57,30,10,b
60,30,9,b
61,31,14,b
59,30,9,b
58,28,8,b
60,29,12,b
76,80,86,w
79,83,90,w
76,79,82,w
71,75,76,w
54,58,61,w
73,75,78,w
73,73,73,w
73,73,74,w
73,72,74,w
23,47,24,g
21,43,16,g
23,44,16,g
19,43,15,g
19,40,10,g
20,40,11,g
18,42,15,g
20,39,8,g
20,38,12,g
9,30,109,o
10,29,107,o
6,25,105,o
5,25,97,o
4,23,99,o
4,21,97,o
9,26,90,o
4,22,93,o
5,20,90,o
2,82,109,y
1,81,108,y
3,72,94,y
1,81,109,y
2,86,114,y
2,81,107,y
2,70,93,y
2,77,101,y
3,73,95,y
13,20,67,r
14,19,75,r
13,20,74,r
12,19,63,r
13,19,70,r
14,19,72,r
11,16,52,r
12,16,62,r
13,16,60,r
62,34,15,b
65,35,14,b
66,33,13,b
62,31,11,b
63,32,9,b
66,32,11,b
61,28,7,b
66,30,8,b
63,29,9,b
77,80,86,w
78,82,89,w
77,80,86,w
75,76,79,w
56,60,65,w
77,77,82,w
75,70,70,w
74,73,74,w
73,70,74,w
25,53,27,g
23,49,21,g
25,49,20,g
20,45,13,g
21,44,11,g
